Persentase Usia 15-24 Tidak Sekolah Bekerja atau Pelatihan,,
NAMA WILAYAH,TAHUN,USIA 15-24 TIDAK SEKOLAH/BEKERJA/PELATIHAN
DKI JAKARTA,2016,14.09
DKI JAKARTA,2017,13.49
DKI JAKARTA,2018,16.98
DKI JAKARTA,2019,15.41
DKI JAKARTA,2020,20.13
DKI JAKARTA,2021,20.47
DKI JAKARTA,2022,17.19
DKI JAKARTA,2023,15.49
JAWA BARAT,2015,30.44
JAWA BARAT,2016,27.8
JAWA BARAT,2017,25.33
JAWA BARAT,2018,26.22
JAWA BARAT,2019,25.52
JAWA BARAT,2020,29.33
JAWA BARAT,2021,26.44
JAWA BARAT,2022,27.85
JAWA BARAT,2023,25.71
JAWA TENGAH,2015,25.39
JAWA TENGAH,2016,23.52
JAWA TENGAH,2017,21
JAWA TENGAH,2018,21.23
JAWA TENGAH,2019,21.8
JAWA TENGAH,2020,24.01
JAWA TENGAH,2021,20.32
JAWA TENGAH,2022,20.44
JAWA TENGAH,2023,20.99
DI YOGYAKARTA,2015,13.64
DI YOGYAKARTA,2016,14.24
DI YOGYAKARTA,2017,11.13
DI YOGYAKARTA,2018,12.52
DI YOGYAKARTA,2019,9.78
DI YOGYAKARTA,2020,12.71
DI YOGYAKARTA,2021,9.89
DI YOGYAKARTA,2022,10.7
DI YOGYAKARTA,2023,10.89
JAWA TIMUR,2015,23.9
JAWA TIMUR,2016,23.02
JAWA TIMUR,2017,21.09
JAWA TIMUR,2018,21.11
JAWA TIMUR,2019,21.14
JAWA TIMUR,2020,22.41
JAWA TIMUR,2021,20.77
JAWA TIMUR,2022,22.07
JAWA TIMUR,2023,19.53
BANTEN,2015,29.45
BANTEN,2016,27.73
BANTEN,2017,25.84
BANTEN,2018,24.65
BANTEN,2019,23.11
BANTEN,2020,27.5
BANTEN,2021,26.52
BANTEN,2022,27.29
BANTEN,2023,28.8
BALI,2015,12.25
BALI,2016,13.56
BALI,2017,9.31
BALI,2018,8.59
BALI,2019,9.4
BALI,2020,14.9
BALI,2021,14.52
BALI,2022,11.32
BALI,2023,10.03
NUSA TENGGARA BARAT,2015,25.55
NUSA TENGGARA BARAT,2016,19.53
NUSA TENGGARA BARAT,2017,21.6
NUSA TENGGARA BARAT,2018,24.95
NUSA TENGGARA BARAT,2019,21.98
NUSA TENGGARA BARAT,2020,22.24
NUSA TENGGARA BARAT,2021,20.78
NUSA TENGGARA BARAT,2022,23.3
NUSA TENGGARA BARAT,2023,20.45
NUSA TENGGARA TIMUR,2015,17.22
NUSA TENGGARA TIMUR,2016,17.44
NUSA TENGGARA TIMUR,2017,16.24
NUSA TENGGARA TIMUR,2018,18.46
NUSA TENGGARA TIMUR,2019,19.25
NUSA TENGGARA TIMUR,2020,19.17
NUSA TENGGARA TIMUR,2021,18.97
NUSA TENGGARA TIMUR,2022,18.84
NUSA TENGGARA TIMUR,2023,18.13
KALIMANTAN BARAT,2015,21.98
KALIMANTAN BARAT,2016,22.87
KALIMANTAN BARAT,2017,20.98
KALIMANTAN BARAT,2018,24.5
KALIMANTAN BARAT,2019,23.2
KALIMANTAN BARAT,2020,25.43
KALIMANTAN BARAT,2021,24.74
KALIMANTAN BARAT,2022,24.35
KALIMANTAN BARAT,2023,23.55
KALIMANTAN TENGAH,2015,22.28
KALIMANTAN TENGAH,2016,22.5
KALIMANTAN TENGAH,2017,21.1
KALIMANTAN TENGAH,2018,22.76
KALIMANTAN TENGAH,2019,22.31
KALIMANTAN TENGAH,2020,24.69
KALIMANTAN TENGAH,2021,23.92
KALIMANTAN TENGAH,2022,26.54
KALIMANTAN TENGAH,2023,23.68
KALIMANTAN SELATAN,2015,24.03
KALIMANTAN SELATAN,2016,23.82
KALIMANTAN SELATAN,2017,21.51
KALIMANTAN SELATAN,2018,23.06
KALIMANTAN SELATAN,2019,22.18
KALIMANTAN SELATAN,2020,21.16
KALIMANTAN SELATAN,2021,20.54
KALIMANTAN SELATAN,2022,23.57
KALIMANTAN SELATAN,2023,21.17
KALIMANTAN TIMUR,2015,22.25
KALIMANTAN TIMUR,2016,27.04
KALIMANTAN TIMUR,2017,20.47
KALIMANTAN TIMUR,2018,23.24
KALIMANTAN TIMUR,2019,19.65
KALIMANTAN TIMUR,2020,24.25
KALIMANTAN TIMUR,2021,21.56
KALIMANTAN TIMUR,2022,20.08
KALIMANTAN TIMUR,2023,18.66
KALIMANTAN UTARA,2015,19.24
KALIMANTAN UTARA,2016,18.45
KALIMANTAN UTARA,2017,16.35
KALIMANTAN UTARA,2018,17.37
KALIMANTAN UTARA,2019,21.42
KALIMANTAN UTARA,2020,22.59
KALIMANTAN UTARA,2021,19.8
KALIMANTAN UTARA,2022,20.3
KALIMANTAN UTARA,2023,18.16
SULAWESI UTARA,2015,27.21
SULAWESI UTARA,2016,27.27
SULAWESI UTARA,2017,29.78
SULAWESI UTARA,2018,29.73
SULAWESI UTARA,2019,28.1
SULAWESI UTARA,2020,29.94
SULAWESI UTARA,2021,29.43
SULAWESI UTARA,2022,33.54
SULAWESI UTARA,2023,30.73
SULAWESI TENGAH,2015,26.64
SULAWESI TENGAH,2016,18.99
SULAWESI TENGAH,2017,21.04
SULAWESI TENGAH,2018,21.14
SULAWESI TENGAH,2019,21.85
SULAWESI TENGAH,2020,22.23
SULAWESI TENGAH,2021,22.31
SULAWESI TENGAH,2022,23.99
SULAWESI TENGAH,2023,22.39
SULAWESI SELATAN,2015,24.1
SULAWESI SELATAN,2016,22.21
SULAWESI SELATAN,2017,21.83
SULAWESI SELATAN,2018,23.07
SULAWESI SELATAN,2019,21.91
SULAWESI SELATAN,2020,25.48
SULAWESI SELATAN,2021,23.78
SULAWESI SELATAN,2022,22.61
SULAWESI SELATAN,2023,22.24
SULAWESI TENGGARA,2015,23.52
SULAWESI TENGGARA,2016,16.64
SULAWESI TENGGARA,2017,20
SULAWESI TENGGARA,2018,20.45
SULAWESI TENGGARA,2019,21.32
SULAWESI TENGGARA,2020,23
SULAWESI TENGGARA,2021,19.87
SULAWESI TENGGARA,2022,21.61
SULAWESI TENGGARA,2023,21.97
GORONTALO,2015,27.16
GORONTALO,2016,22.69
GORONTALO,2017,25.76
GORONTALO,2018,26.37
GORONTALO,2019,26.41
GORONTALO,2020,27.35
GORONTALO,2021,25.79
GORONTALO,2022,28.03
GORONTALO,2023,24.87
SULAWESI BARAT,2015,18.92
SULAWESI BARAT,2016,26.76
SULAWESI BARAT,2017,22.71
SULAWESI BARAT,2018,24.12
SULAWESI BARAT,2019,23.07
SULAWESI BARAT,2020,24.15
SULAWESI BARAT,2021,22.85
SULAWESI BARAT,2022,22.51
SULAWESI BARAT,2023,21.81
MALUKU,2015,25.23
MALUKU,2016,24.26
MALUKU,2017,24.44
MALUKU,2018,25.18
MALUKU,2019,26.59
MALUKU,2020,27.46
MALUKU,2021,28.64
MALUKU,2022,30.89
MALUKU,2023,35.38
MALUKU UTARA,2015,25.22
MALUKU UTARA,2016,24.26
MALUKU UTARA,2017,24.44
MALUKU UTARA,2018,23.04
MALUKU UTARA,2019,24.94
MALUKU UTARA,2020,26.37
MALUKU UTARA,2021,27.59
MALUKU UTARA,2022,29.52
MALUKU UTARA,2023,29.71
PAPUA BARAT,2015,20.37
PAPUA BARAT,2016,23.64
PAPUA BARAT,2017,18.3
PAPUA BARAT,2018,18.61
PAPUA BARAT,2019,20.77
PAPUA BARAT,2020,24.01
PAPUA BARAT,2021,21.97
PAPUA BARAT,2022,26.29
PAPUA BARAT,2023,27.98
PAPUA BARAT DAYA,2015,-
PAPUA BARAT DAYA,2016,-
PAPUA BARAT DAYA,2017,-
PAPUA BARAT DAYA,2018,-
PAPUA BARAT DAYA,2019,-
PAPUA BARAT DAYA,2020,-
PAPUA BARAT DAYA,2021,-
PAPUA BARAT DAYA,2022,-
PAPUA BARAT DAYA,2023,-
PAPUA,2015,15.42
PAPUA,2016,16.53
PAPUA,2017,16.35
PAPUA,2018,16.74
PAPUA,2019,17.57
PAPUA,2020,20.92
PAPUA,2021,18.51
PAPUA,2022,20.07
PAPUA,2023,25.06
PAPUA SELATAN,2015,-
PAPUA SELATAN,2016,-
PAPUA SELATAN,2017,-
PAPUA SELATAN,2018,-
PAPUA SELATAN,2019,-
PAPUA SELATAN,2020,-
PAPUA SELATAN,2021,-
PAPUA SELATAN,2022,-
PAPUA SELATAN,2023,-
PAPUA TENGAH,2015,-
PAPUA TENGAH,2016,-
PAPUA TENGAH,2017,-
PAPUA TENGAH,2018,-
PAPUA TENGAH,2019,-
PAPUA TENGAH,2020,-
PAPUA TENGAH,2021,-
PAPUA TENGAH,2022,-
PAPUA TENGAH,2023,-
PAPUA PEGUNUNGAN,2015,-
PAPUA PEGUNUNGAN,2016,-
PAPUA PEGUNUNGAN,2017,-
PAPUA PEGUNUNGAN,2018,-
PAPUA PEGUNUNGAN,2019,-
PAPUA PEGUNUNGAN,2020,-
PAPUA PEGUNUNGAN,2021,-
PAPUA PEGUNUNGAN,2022,-
PAPUA PEGUNUNGAN,2023,-
INDONESIA,2015,24.77
INDONESIA,2016,23.19
INDONESIA,2017,21.41
INDONESIA,2018,22.15
INDONESIA,2019,21.77
INDONESIA,2020,24.28
INDONESIA,2021,22.4
INDONESIA,2022,23.22
INDONESIA,2023,22.25
