Persentase Tenaga Kerja Formal Menurut Provinsi,,
NAMA WILAYAH,TAHUN,PERSENTASE TENAGA KERJA FORMAL (Persen)
MALUKU UTARA,2019,38.31
MALUKU UTARA,2020,33.87
MALUKU UTARA,2021,36.44
MALUKU UTARA,2022,34.37
MALUKU UTARA,2023,33.92
PAPUA BARAT,2015,39.45
PAPUA BARAT,2016,40.57
PAPUA BARAT,2017,40.9
PAPUA BARAT,2018,45.7
PAPUA BARAT,2019,47.75
PAPUA BARAT,2020,42.02
PAPUA BARAT,2021,42.08
PAPUA BARAT,2022,39.72
PAPUA BARAT,2023,41.45
PAPUA BARAT DAYA,2015,-
PAPUA BARAT DAYA,2016,-
PAPUA BARAT DAYA,2017,-
PAPUA BARAT DAYA,2018,-
PAPUA BARAT DAYA,2019,-
PAPUA BARAT DAYA,2020,-
PAPUA BARAT DAYA,2021,-
PAPUA BARAT DAYA,2022,-
PAPUA BARAT DAYA,2023,-
PAPUA,2015,18.51
PAPUA,2016,21.63
PAPUA,2017,21.81
PAPUA,2018,21.89
PAPUA,2019,20.71
PAPUA,2020,20.08
PAPUA,2021,19.53
PAPUA,2022,15.89
PAPUA,2023,15.57
PAPUA SELATAN,2015,-
PAPUA SELATAN,2016,-
PAPUA SELATAN,2017,-
PAPUA SELATAN,2018,-
PAPUA SELATAN,2019,-
PAPUA SELATAN,2020,-
PAPUA SELATAN,2021,-
PAPUA SELATAN,2022,-
PAPUA SELATAN,2023,-
PAPUA TENGAH,2015,-
PAPUA TENGAH,2016,-
PAPUA TENGAH,2017,-
PAPUA TENGAH,2018,-
PAPUA TENGAH,2019,-
PAPUA TENGAH,2020,-
PAPUA TENGAH,2021,-
PAPUA TENGAH,2022,-
PAPUA TENGAH,2023,-
PAPUA PEGUNUNGAN,2015,-
PAPUA PEGUNUNGAN,2016,-
PAPUA PEGUNUNGAN,2017,-
PAPUA PEGUNUNGAN,2018,-
PAPUA PEGUNUNGAN,2019,-
PAPUA PEGUNUNGAN,2020,-
PAPUA PEGUNUNGAN,2021,-
PAPUA PEGUNUNGAN,2022,-
PAPUA PEGUNUNGAN,2023,-
INDONESIA,2015,42.25
INDONESIA,2016,42.4
INDONESIA,2017,42.97
INDONESIA,2018,43.02
INDONESIA,2019,44.12
INDONESIA,2020,39.53
INDONESIA,2021,40.55
INDONESIA,2022,40.69
INDONESIA,2023,40.89
